date,symbol,open,high,low,close,adjusted_close,volume,rate_1year,rate_3month,rate_10year,cpi_core,cpi_headline,ppi_final,gdp_growth,vix,unemployment,dividend_per_share,dividend_growth_pct,return_outlier_flag,volume_outlier_flag,daily_return,log_return,volatility_10d,volatility_21d,volatility_63d,vix_change,vix_jpm_corr_21d,vix_jpm_corr_63d,term_spread_10y_3m,rate_10y_momentum_5d,rate_3m_momentum_5d,rate_10y_momentum_21d,rate_3m_momentum_21d,dividend_growth_yoy,gdp_growth_rate_qoq
2021-11-30,JPM,159.16000366210938,160.6300048828125,158.2899932861328,158.8300018310547,141.63232421875,18922600,0.24,0.05,1.43,283.406,278.919,131.475,21988.737,27.19,4.1,1.0,0.11111111111111116,False,False,-0.01488568628822362,-0.014997590014131906,0.2564280659713164,0.18338860017426686,0.21022354474678256,0.18423344947735187,-0.4678325479034524,-0.49066236143411135,1.38,-0.19999999999999996,0.0,-0.1200000000000001,0.0,0.11111111111111116,0.01715755162822097
2021-12-01,JPM,161.0,163.27000427246094,157.8000030517578,157.88999938964844,140.7941131591797,12253400,0.25,0.06,1.43,285.18,280.845,132.26,21988.737,31.12,3.9,1.0,0.11111111111111116,False,False,-0.005918218628366945,-0.005935800688203349,0.25615986261356677,0.1833509354750797,0.2105393830410526,0.14453843324751747,-0.4678406069306919,-0.4938338443780424,1.3699999999999999,-0.24,0.0,-0.15000000000000013,0.009999999999999995,0.11111111111111116,0.01715755162822097
2021-12-02,JPM,159.8300018310547,163.25,158.8000030517578,161.2100067138672,143.75466918945312,12969900,0.27,0.05,1.44,285.18,280.845,132.26,21988.737,27.95,3.9,1.0,0.11111111111111116,False,False,0.021027555512397544,0.020809527567014142,0.28598679056160964,0.20044937378546027,0.21446372223527382,-0.10186375321336771,-0.5001289808853074,-0.5077178380532831,1.39,-0.19999999999999996,-0.009999999999999995,-0.1200000000000001,0.0,0.11111111111111116,0.01715755162822097
2021-12-03,JPM,161.5,161.8300018310547,157.19000244140625,158.2899932861328,141.1508026123047,12681800,0.26,0.06,1.35,285.18,280.845,132.26,21988.737,30.67,3.9,1.0,0.11111111111111116,False,False,-0.01811326610697306,-0.018279319547895415,0.29614706440460825,0.207199192883342,0.2172798754458527,0.09731663685152059,-0.5027400976780363,-0.5167711042134372,1.29,-0.1299999999999999,0.0,-0.25,0.009999999999999995,0.11111111111111116,0.01715755162822097
2021-12-06,JPM,161.00999450683594,162.61000061035156,159.4600067138672,160.16000366210938,142.81832885742188,11186500,0.28,0.05,1.43,285.18,280.845,132.26,21988.737,27.18,3.9,1.0,0.11111111111111116,False,False,0.01181379215885392,0.011744554092196179,0.2985279087401489,0.21053284335021288,0.21851673620815346,-0.113791979132703,-0.5437708255864645,-0.5254301972635922,1.38,-0.09000000000000008,-0.009999999999999995,-0.10000000000000009,0.010000000000000002,0.11111111111111116,0.01715755162822097
2021-12-07,JPM,161.8800048828125,163.38999938964844,161.16000366210938,162.57000732421875,144.96737670898438,9851600,0.31,0.06,1.48,285.18,280.845,132.26,21988.737,21.89,3.9,1.0,0.11111111111111116,False,False,0.015047423315728059,0.014935333880839462,0.28747169619721963,0.21890778139902164,0.2202743307641039,-0.19462840323767472,-0.5851366016693479,-0.5392593638067819,1.42,0.050000000000000044,0.009999999999999995,0.030000000000000027,0.009999999999999995,0.11111111111111116,0.01715755162822097
2021-12-08,JPM,162.66000366210938,163.27000427246094,160.1699981689453,160.7100067138672,143.30877685546875,11705700,0.29,0.07,1.52,285.18,280.845,132.26,21988.737,19.9,3.9,1.0,0.11111111111111116,False,False,-0.011441193813178985,-0.011507147815379678,0.25517111429210415,0.21967416942583534,0.22142769827321804,-0.09090909090909105,-0.5557507647139421,-0.5227770580263288,1.45,0.09000000000000008,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.11111111111111116,0.01715755162822097
2021-12-09,JPM,159.64999389648438,160.92999267578125,158.64999389648438,160.4600067138672,143.08584594726562,11189600,0.28,0.06,1.49,285.18,280.845,132.26,21988.737,21.58,3.9,1.0,0.11111111111111116,False,False,-0.0015555984294525205,-0.0015568096289456975,0.2548735132789005,0.2188719138265041,0.22015959846158592,0.08442211055276383,-0.5526842068320645,-0.5156706243581283,1.43,0.050000000000000044,0.009999999999999995,0.030000000000000027,0.019999999999999997,0.11111111111111116,0.01715755162822097
2021-12-10,JPM,161.32000732421875,161.6999969482422,159.1300048828125,159.82000732421875,142.51513671875,10405400,0.27,0.06,1.48,285.18,280.845,132.26,21988.737,18.69,3.9,1.0,0.11111111111111116,False,False,-0.003988579196896658,-0.003996554793498102,0.2077010132811865,0.21892071797711252,0.21809455703861774,-0.13392029657089888,-0.5357638565995936,-0.49627892291655723,1.42,0.1299999999999999,0.0,-0.08000000000000007,0.009999999999999995,0.11111111111111116,0.01715755162822097
2021-12-13,JPM,159.5,159.7899932861328,157.27999877929688,157.9199981689453,140.8208770751953,12069000,0.27,0.05,1.42,285.18,280.845,132.26,21988.737,20.31,3.9,1.0,0.11111111111111116,False,False,-0.011888278554566867,-0.011959509241082083,0.21423346455021056,0.22127584841875594,0.21651863622191925,0.08667736757624378,-0.5414899116804626,-0.5083229376509302,1.3699999999999999,-0.010000000000000009,0.0,-0.15000000000000013,0.0,0.11111111111111116,0.01715755162822097
